,Date,Model Name,Parameters,Evaluation Name,Threshold,Result
606,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.1,1
609,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.01,1
613,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.3,1
619,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.2,1
622,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.02,1
625,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.05,1
628,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.1,1
631,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.01,1
635,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.3,1
641,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.2,1
644,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.02,1
647,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.05,1
650,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.1,1
653,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.01,1
657,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.3,1
663,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.2,1
666,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.02,1
669,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.05,1
672,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.1,1
675,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.01,1
679,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.3,1
2313,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.2,1
2316,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.02,1
2319,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.05,1
2322,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.1,1
2325,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.01,1
